REF_DATE,GEO,Labour force characteristics,Population centre and rural areas,Gender,Age group,VALUE
21-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.2
21-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,6.1
21-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,8.3
21-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.9
21-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.6
21-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.2
21-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.1
22-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.7
22-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.6
22-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.8
22-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.1
22-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.6
22-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.5
22-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.8
22-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,6.1
22-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.9
22-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.5
22-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.2
22-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,2.9
23-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.6
23-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.3
23-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.3
23-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.7
23-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.2
23-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.9
23-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,5.6
23-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,6.1
23-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,3.4
23-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.4
23-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.4
23-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.3
24-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,5.6
24-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.7
24-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,5.4
24-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.5
24-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.7
24-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.5
24-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,5.5
24-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,6.4
24-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.8
24-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.5
24-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.5
24-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.3
25-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,5.8
25-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.9
25-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.9
25-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,5.1
25-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.2
25-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4
25-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,5.4
25-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,7.6
25-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,5.3
21-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,9
21-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,10.3
21-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,6.5
21-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,8
21-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,6.5
21-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,5.8
21-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,8.1
21-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.3
22-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,5.4
22-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.7
22-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.7
22-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.7
22-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.8
22-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.3
22-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.9
22-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.7
22-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,2.4
22-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,1.9
22-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,1.8
22-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,1.9
23-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.3
23-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4
23-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.8
23-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.6
23-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,5.5
23-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,5.4
23-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,5.8
23-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,7.4
23-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.9
23-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.9
23-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.3
23-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,5.8
24-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.7
24-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.5
24-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.5
24-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,2.7
24-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.8
24-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.2
24-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,5.2
24-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,5.3
